nama,alamat,tempat_lahir,phone_number,tanggal_lahir,ipk,tanggal_daftar
Genta Pradana,Gang Rajawali Timur No. 8,Bandung,+62 (011) 777 6030,1977-07-07,3.2,2022-01-03
Tgk. Titin Mulyani,Jl. Raya Ujungberung No. 5,Bima,+62-073-979-3000,1997-04-01,3.06,2022-08-21
Estiono Damanik,Gang M.H Thamrin No. 50,Pagaralam,+62 (095) 125-6020,1967-01-22,3.35,2021-08-04
"dr. Silvia Sirait, S.Gz",Jl. Asia Afrika No. 9,Pangkalpinang,(077) 069 1427,1991-01-23,3.38,2019-04-17
Anastasia Susanti,Jalan Tubagus Ismail No. 6,Palangkaraya,+62-398-011-5660,1998-02-24,3.17,2022-12-08
Eman Tarihoran,Gang M.H Thamrin No. 74,Palangkaraya,+62 (0748) 781 3648,1980-12-04,3.04,2022-05-31
Tgk. Kadir Sihotang,Gg. Raya Ujungberung No. 1,Pontianak,(0480) 408 1462,1966-02-06,3.26,2021-08-12
Lukita Wibowo,Jalan Antapani Lama No. 286,Kediri,+62 (095) 684 7885,2000-08-22,3.44,2019-12-30
Jamalia Suwarno,Jalan Rajiman No. 55,Payakumbuh,086 036 9526,1970-01-01,3.09,2022-05-28
Ami Utama,Gg. Gedebage Selatan No. 7,Ambon,+62 (046) 569-9490,1966-09-11,3.37,2022-01-27
Cengkir Ardianto,Jalan Kutai No. 771,Kota Administrasi Jakarta Barat,(059) 166-4370,1967-10-28,2.12,2021-05-11
Puti Susanti,Gg. Erlangga No. 9,Manado,+62 (0441) 266 2862,1994-02-26,3.11,2019-08-16
R.M. Cakrabirawa Tamba,Gg. Sadang Serang No. 4,Mojokerto,+62 (023) 667 3532,1997-06-04,2.99,2022-11-09
Cawisono Saputra,Gg. Cihampelas No. 14,Pariaman,+62 (0040) 909 5533,1976-09-09,3.38,2019-09-09
R. Salimah Jailani,Jalan Suniaraja No. 3,Parepare,+62-938-029-4116,1994-09-14,1.68,2022-04-23
Anggabaya Rahayu,Jl. Merdeka No. 0,Magelang,+62 (0297) 925-7375,1987-11-04,3.08,2021-07-01
Lukita Narpati,Gang Sentot Alibasa No. 602,Jambi,(0340) 516 8128,1973-04-29,2.79,2018-12-24
Drs. Ghaliyati Maheswara,Gang Pelajar Pejuang No. 17,Palangkaraya,+62 (75) 467-9442,1984-06-19,3.38,2018-10-04
"dr. Kajen Anggriawan, S.Psi",Gg. Peta No. 1,Pangkalpinang,(048) 460-5061,1978-01-28,3.12,2021-09-29
Wani Yuniar,Gg. Moch. Toha No. 192,Binjai,(0708) 395 5667,1981-01-17,3.04,2020-12-12
Mulyanto Hasanah,Jalan Merdeka No. 5,Payakumbuh,+62 (257) 333-8391,1965-11-01,3.27,2019-08-20
"Darimin Jailani, S.Farm",Gang Sukabumi No. 955,Banjarbaru,+62 (392) 135-6831,1988-11-22,3.18,2018-10-25
"Martani Nashiruddin, S.Psi",Jalan PHH. Mustofa No. 6,Madiun,(046) 479-7281,1974-10-09,3.2,2019-02-10
R.A. Juli Gunawan,Gang M.H Thamrin No. 372,Surakarta,+62 (0134) 530 7552,1998-10-05,3.29,2022-02-09
Ani Iswahyudi,Jalan Kutisari Selatan No. 57,Sawahlunto,(0349) 420-6257,1981-02-07,3.02,2021-08-21
Paulin Gunarto,Gang Bangka Raya No. 74,Tanjungpinang,+62-95-509-1510,1977-10-25,3.36,2019-08-25
Mahesa Lailasari,Gang BKR No. 30,Mojokerto,(063) 712 4571,1975-09-11,3.04,2022-11-16
Laila Ramadan,Jl. Rajawali Barat No. 335,Kupang,0801935905,1969-06-27,3.51,2020-12-24
Janet Lailasari,Jl. Pasirkoja No. 9,Bengkulu,084 214 2366,1990-02-18,2.65,2020-04-09
"Dr. Jamil Situmorang, S.E.I",Gg. Jend. A. Yani No. 2,Meulaboh,(0059) 230-5749,1964-04-17,3.08,2020-09-28
Ir. Nasab Simanjuntak,Gg. Otto Iskandardinata No. 96,Palangkaraya,+62-0830-769-8676,1997-12-01,3.47,2021-08-27
R. Gaman Mustofa,Gang Indragiri No. 92,Tidore Kepulauan,+62 (006) 270-1521,1965-06-17,3.18,2020-06-02
Samiah Hassanah,Gg. Ciwastra No. 07,Yogyakarta,(0488) 463-4934,1966-07-27,2.89,2022-07-02
Tami Maheswara,Jalan Ciwastra No. 59,Salatiga,+62 (095) 153 6828,1965-04-16,2.98,2023-02-21
"T. Makuta Ramadan, S.IP",Jalan Cihampelas No. 02,Bontang,+62 (0971) 184-0413,1991-12-22,3.09,2020-06-05
Kasiyah Maulana,Jl. Laswi No. 5,Bengkulu,+62-005-544-6941,1964-08-25,2.76,2020-09-01
"Dr. Wahyu Mangunsong, S.Gz",Gg. Ahmad Dahlan No. 91,Kota Administrasi Jakarta Selatan,+62-0153-538-2481,1972-08-10,2.92,2018-10-05
H. Cakrawala Hutasoit,Jl. Ciwastra No. 625,Sorong,(009) 520-5083,2002-05-05,3.17,2018-10-15
"Sutan Raden Fujiati, S.Gz",Jalan Bangka Raya No. 38,Bau-Bau,+62-03-666-1579,1965-12-13,2.97,2022-05-23
Bakidin Situmorang,Gang Merdeka No. 4,Kendari,+62-07-312-4612,1995-05-03,3.2,2020-03-01
"Ajiman Saputra, S.Kom",Jl. Sentot Alibasa No. 81,Banjarmasin,+62 (058) 823-4191,1964-10-18,3.78,2021-08-30
Zelda Hariyah,Jl. K.H. Wahid Hasyim No. 28,Kendari,082 294 8190,1993-06-05,3.18,2018-07-18
Karen Namaga,Jl. Ciwastra No. 02,Serang,+62 (560) 542 3008,1966-03-23,3.22,2022-01-24
Mulya Winarsih,Gang Dipenogoro No. 598,Batam,(029) 081-5794,1990-10-14,3.38,2021-03-15
Tari Ramadan,Gg. Kiaracondong No. 82,Cimahi,080 501 3040,2002-01-13,3.12,2023-03-19
Garang Ardianto,Jalan Astana Anyar No. 369,Batu,+62 (059) 622 4118,2002-07-27,2.99,2019-11-30
Dina Saefullah,Jalan Cihampelas No. 5,Blitar,+62 (37) 053-8716,1968-04-29,3.27,2022-10-15
Caraka Sihotang,Jl. Rumah Sakit No. 065,Sawahlunto,+62-066-846-8831,2000-12-29,3.26,2022-10-21
Elisa Haryanti,Jl. Kapten Muslihat No. 2,Metro,(081) 976-6320,1975-05-13,3.53,2019-06-06
"Dr. Ika Nasyidah, S.E.",Gang Cihampelas No. 0,Tidore Kepulauan,(017) 338-8029,1964-11-27,3.4,2019-04-23
Dadap Irawan,Jl. Pasirkoja No. 1,Malang,+62-0561-516-6145,1999-08-14,3.66,2020-03-15
Mitra Budiman,Jalan Kutai No. 5,Padangpanjang,+62 (155) 963-1754,1974-12-24,3.75,2020-07-09
Asmuni Napitupulu,Jl. Kebonjati No. 251,Sungai Penuh,+62 (881) 961 7282,1968-06-09,3.4,2020-12-04
"Ana Saefullah, M.Pd",Gang Jamika No. 207,Mojokerto,+62 (01) 243-8420,1975-06-03,3.6,2021-04-26
"Suci Hutapea, M.Farm",Gang Antapani Lama No. 64,Langsa,0867605995,2002-12-30,3.91,2022-11-18
T. Cengkir Hardiansyah,Jl. Yos Sudarso No. 66,Sabang,(0842) 199-5096,1982-11-22,3.18,2021-12-16
Atmaja Nugroho,Jalan Cikutra Timur No. 30,Surabaya,+62-0224-090-3930,1983-11-06,3.33,2023-01-09
Irma Mustofa,Jl. Gegerkalong Hilir No. 151,Depok,+62 (0089) 494-5402,1981-01-08,3.59,2021-06-29
"drg. Aisyah Pratiwi, S.Farm",Gang Joyoboyo No. 88,Banjarmasin,+62 (0179) 151-6726,1989-09-10,3.41,2019-07-02
"Yono Sihombing, S.E.",Jl. Ahmad Dahlan No. 97,Sawahlunto,+62 (75) 580-1780,1977-06-05,3.45,2020-05-25
Sutan Edward Sudiati,Jl. Joyoboyo No. 9,Mataram,087 523 8820,1981-09-02,3.39,2019-05-19
Kezia Kusmawati,Gg. Wonoayu No. 492,Padang,+62-030-668-1037,1986-09-25,3.6,2018-10-30
Ifa Maheswara,Jl. Setiabudhi No. 696,Banjarmasin,+62-271-696-0309,1992-02-26,3.32,2023-01-11
Pranata Narpati,Jl. Cikutra Timur No. 69,Pematangsiantar,0892898921,1993-02-27,3.66,2020-05-11
"dr. Mutia Narpati, M.Kom.",Gg. Pasteur No. 65,Palangkaraya,(0940) 634 8906,2001-12-01,3.6,2023-04-11
"Kartika Yuliarti, S.T.",Jalan Gardujati No. 056,Ternate,+62 (0234) 232-1764,1988-01-16,3.49,2021-06-06
Marsito Hardiansyah,Jalan Surapati No. 362,Tangerang,+62 (62) 340-2630,1997-05-06,3.35,2021-08-18
Titi Santoso,Jl. Rawamangun No. 582,Payakumbuh,+62 (076) 345 9073,2000-06-19,3.2,2021-09-04
"Queen Halim, S.T.",Gang Jayawijaya No. 79,Palopo,+62 (071) 399 1282,1977-05-09,3.36,2021-06-18
"Tgk. Ian Safitri, S.H.",Jalan Soekarno Hatta No. 2,Bandung,0858817684,1969-09-24,3.5,2020-04-10
Nilam Utama,Jl. Ir. H. Djuanda No. 2,Sukabumi,+62 (79) 533-2175,1992-08-25,3.62,2022-09-23
"dr. Cagak Setiawan, S.E.",Jl. Astana Anyar No. 825,Bekasi,(060) 385 5981,1995-06-28,3.15,2022-07-16
Zulaikha Farida,Jalan Cihampelas No. 10,Tegal,+62 (021) 151-4076,1981-03-24,3.65,2018-10-01
Farah Winarno,Gg. Astana Anyar No. 6,Denpasar,+62 (975) 696-8040,1977-05-27,3.01,2020-05-16
Puti Hakim,Jalan Gegerkalong Hilir No. 528,Bogor,+62 (69) 909 3240,1975-03-20,3.37,2021-01-29
Pranawa Wahyuni,Gg. Kebonjati No. 199,Kota Administrasi Jakarta Selatan,+62 (061) 440 7241,1990-11-09,3.2,2021-02-01
Ganda Marpaung,Gang Sentot Alibasa No. 0,Sukabumi,+62-0550-810-2232,1991-11-22,3.09,2021-06-14
Tirta Uwais,Jl. Sadang Serang No. 28,Kota Administrasi Jakarta Selatan,+62-0470-881-9119,1992-01-11,3.11,2019-03-26
"Tomi Nababan, S.IP",Jalan Rawamangun No. 89,Bekasi,+62 (030) 684 9930,1972-02-11,3.25,2023-02-04
Bella Astuti,Jl. Sukabumi No. 045,Kota Administrasi Jakarta Utara,+62 (639) 810-8991,1968-11-04,3.18,2022-04-27
Latika Putra,Jl. Kiaracondong No. 85,Padangpanjang,+62 (086) 867 5803,1988-11-25,3.45,2019-09-14
"Qori Sitorus, S.T.",Gang R.E Martadinata No. 475,Palopo,+62 (04) 273-1985,1975-02-25,3.39,2020-01-15
Tira Nuraini,Jl. Cihampelas No. 37,Palangkaraya,(0975) 467-7110,1996-02-21,3.66,2021-06-10
Drs. Bakidin Wijayanti,Jalan Cikutra Timur No. 07,Bekasi,(0268) 166-1340,1993-03-21,3.32,2022-04-22
Harjasa Rahimah,Jalan Cikutra Barat No. 630,Padang,+62 (86) 161 9716,1985-04-11,3.5,2022-12-09
R.A. Elma Sitorus,Jalan Sentot Alibasa No. 393,Bukittinggi,+62 (27) 386-5491,1976-05-26,3.48,2021-05-22
Dalima Dabukke,Jalan Soekarno Hatta No. 3,Medan,+62 (0245) 003 9057,1968-10-10,3.34,2022-10-01
Dariati Pradana,Jalan Rajawali Barat No. 31,Padangpanjang,+62 (0137) 956-5864,1980-06-12,3.35,2018-06-26
"R.M. Kawaca Putra, S.T.",Gang Cihampelas No. 46,Lubuklinggau,(0010) 845 9937,1989-07-22,3.32,2021-04-02
Sari Simbolon,Jalan Rajiman No. 989,Sorong,081 142 4381,1984-11-02,3.34,2020-08-13
Raden Sihombing,Jalan Jayawijaya No. 0,Balikpapan,+62 (026) 008 1045,1999-02-10,3.38,2019-09-11
Nasab Halim,Jl. Pasir Koja No. 8,Magelang,+62 (351) 094 8597,1968-02-03,3.45,2019-12-23
"drg. Elvina Sihombing, S.T.",Gg. PHH. Mustofa No. 4,Malang,+62-000-117-7747,1980-12-08,3.31,2019-10-24
Virman Setiawan,Jl. Sukajadi No. 529,Lhokseumawe,+62 (26) 053 3264,1998-03-17,3.43,2021-01-10
"dr. Qori Kusmawati, M.Pd",Jalan Monginsidi No. 293,Cilegon,+62-0874-065-5698,1979-07-27,3.52,2020-04-06
Cawisadi Padmasari,Jl. Kutisari Selatan No. 539,Serang,(061) 649-7257,1992-07-25,3.35,2018-12-05
Ajeng Permata,Gg. Sentot Alibasa No. 75,Batam,(059) 872-6424,1966-08-13,3.57,2019-08-20
Bajragin Hutagalung,Gang Pacuan Kuda No. 3,Singkawang,+62-08-634-0309,1998-06-19,3.52,2018-08-30
Rama Mangunsong,Jl. Sukabumi No. 07,Kendari,+62-034-031-1123,1980-07-11,3.08,2022-07-27
Asmuni Habibi,Gang Rungkut Industri No. 7,Mojokerto,+62 (013) 305-2626,1972-08-08,3.43,2022-05-30
"Padmi Permata, S.Ked",Jl. Gardujati No. 052,Banjarbaru,+62 (095) 039 6632,1974-02-03,3.43,2018-06-04
"Elma Padmasari, S.Pt",Gg. BKR No. 76,Tasikmalaya,089 688 8461,1992-09-28,3.45,2021-10-09
Bagya Prakasa,Gang Ahmad Dahlan No. 75,Kota Administrasi Jakarta Selatan,+62-042-889-0105,1975-09-30,3.48,2021-05-23
Ganda Wibowo,Jl. Setiabudhi No. 1,Jayapura,(0653) 838-1651,1988-07-30,3.36,2021-03-31
Prasetya Astuti,Jalan Cihampelas No. 3,Dumai,+62-0660-977-4004,1996-12-16,3.5,2022-08-07
Dacin Winarno,Jalan Raya Setiabudhi No. 3,Sorong,(0855) 322 5358,1975-08-28,3.35,2019-08-16
Pia Handayani,Gang K.H. Wahid Hasyim No. 244,Palembang,+62 (0497) 321 6467,1992-01-23,3.45,2023-04-19
Himawan Rahimah,Jl. Suryakencana No. 45,Ternate,0822258110,1987-04-26,3.32,2023-05-11
Rahmi Pranowo,Gang Sadang Serang No. 965,Solok,(005) 629 5575,1963-07-27,3.29,2022-06-18
"R.M. Cahyadi Puspita, S.Psi",Gang Jayawijaya No. 016,Padang Sidempuan,+62 (040) 188-6210,1996-11-15,3.41,2023-02-14
"Drs. Ratih Fujiati, S.H.",Jalan Veteran No. 8,Magelang,(034) 700 0750,1983-10-09,3.43,2020-03-29
"Rina Uyainah, M.TI.",Gang Laswi No. 57,Banjar,(0679) 373 9140,1995-05-06,3.52,2021-02-16
Tgk. Erik Utami,Jalan Rawamangun No. 566,Purwokerto,+62 (59) 135-9487,1979-08-23,3.19,2023-01-23
"Qori Nugroho, S.H.",Gg. Kutai No. 26,Bengkulu,(0583) 074 1992,1970-12-06,3.43,2022-11-15
Rusman Maulana,Gang Jend. A. Yani No. 42,Tangerang,+62 (0821) 135 7063,1963-11-30,3.45,2021-12-24
Cut Zalindra Nuraini,Jl. Kebonjati No. 03,Medan,+62-0476-976-0492,1973-10-05,3.43,2020-03-31
"T. Estiono Riyanti, S.I.Kom",Gg. Pelajar Pejuang No. 2,Surakarta,+62 (0746) 848 6025,1974-03-26,3.23,2018-11-20
Gawati Pradipta,Jl. Suryakencana No. 7,Surakarta,+62-814-283-8357,1983-10-25,3.43,2022-02-25
"Puti Irma Waluyo, M.Farm",Jl. Sukajadi No. 44,Padang Sidempuan,(0394) 741 2650,1989-09-02,3.35,2019-08-14
Halima Astuti,Jl. KH Amin Jasuta No. 99,Batu,+62 (314) 487 4505,1992-05-28,3.52,2021-07-02
Ir. Uli Megantara,Gg. Ir. H. Djuanda No. 186,Pekanbaru,+62 (0630) 888 4496,1976-02-16,3.34,2019-06-01
Yuliana Wibowo,Jl. Veteran No. 1,Kediri,(0951) 160 7196,1976-02-28,3.45,2018-09-19
Utama Wastuti,Jl. Rajawali Barat No. 946,Palangkaraya,+62 (0074) 974 1613,1975-07-30,3.33,2022-08-22
Rahmi Hakim,Jl. M.H Thamrin No. 1,Sabang,+62 (294) 073 6685,1988-01-12,3.4,2021-09-28
Garan Sihotang,Jalan Waringin No. 8,Kota Administrasi Jakarta Timur,0868961277,1975-10-08,3.48,2020-08-13
"drg. Edi Hassanah, S.H.",Gang PHH. Mustofa No. 5,Surakarta,+62-772-345-1058,1973-08-13,3.34,2023-04-30
KH. Gambira Mardhiyah,Jalan Waringin No. 9,Bima,+62 (0934) 613-5681,1977-11-22,3.58,2020-09-09
Slamet Purnawati,Jl. Rungkut Industri No. 417,Makassar,(004) 162-9792,1983-07-16,3.55,2019-07-31
Kamal Adriansyah,Jl. Stasiun Wonokromo No. 674,Kendari,+62 (83) 136 6891,1970-12-28,3.55,2018-09-09
Tiara Manullang,Jl. Gardujati No. 993,Tual,+62-0785-307-0429,1980-05-09,3.55,2018-11-04
Dr. Daru Sudiati,Jl. Cempaka No. 400,Kotamobagu,(058) 996 8993,1967-09-07,3.61,2020-12-14
"T. Artanto Mayasari, M.Farm",Gg. Cikapayang No. 4,Yogyakarta,+62 (98) 076 2472,1973-02-08,3.43,2018-10-19
"drg. Kalim Astuti, S.T.",Jalan Otto Iskandardinata No. 537,Manado,+62 (648) 128 7222,1966-02-23,3.61,2019-01-23
Darmana Yuliarti,Jalan Sukabumi No. 6,Bukittinggi,+62-039-746-8298,1980-12-05,3.64,2020-02-19
R.A. Nurul Maryadi,Gg. Rumah Sakit No. 86,Pekalongan,087 324 3320,1972-01-30,3.5,2022-02-03
Wani Maulana,Jalan HOS. Cokroaminoto No. 4,Dumai,+62 (0021) 290 5458,1963-12-24,3.59,2018-11-08
Laksana Nugroho,Jl. Stasiun Wonokromo No. 44,Bandung,+62-855-994-6068,1972-03-08,3.48,2020-01-20
Azalea Budiman,Jl. Sadang Serang No. 1,Tanjungbalai,(0840) 628 8734,1964-06-07,3.48,2020-10-07
"T. Ridwan Kuswandari, S.Kom",Gang Raya Setiabudhi No. 228,Tidore Kepulauan,+62 (844) 475 3293,1992-01-20,3.57,2022-01-24
Genta Hutapea,Jl. Stasiun Wonokromo No. 15,Banjarbaru,+62-503-446-0794,1967-11-28,3.66,2022-07-30
Kenes Haryanti,Jl. Gegerkalong Hilir No. 458,Lhokseumawe,+62 (492) 871-3228,1970-11-04,3.59,2021-08-27
Queen Wijayanti,Gang Kutai No. 894,Balikpapan,089 388 6146,1998-02-04,3.41,2020-11-18
drg. Gaduh Thamrin,Gg. Kendalsari No. 43,Purwokerto,+62 (634) 834 9992,1979-02-17,3.39,2020-10-03
"Almira Novitasari, M.Pd",Jl. Laswi No. 09,Semarang,+62 (835) 970 2905,1968-08-25,3.45,2022-01-03
Dr. Edi Sihotang,Jalan Rawamangun No. 669,Jayapura,(069) 844 7283,1989-09-23,3.52,2020-03-30
Keisha Sihombing,Gg. Cempaka No. 24,Parepare,0835029469,1997-11-29,3.32,2021-09-06
Farhunnisa Wahyuni,Gang Jamika No. 1,Bengkulu,080 969 4833,1976-10-23,3.34,2023-04-14
"drg. Eja Manullang, S.H.",Jalan M.T Haryono No. 143,Pangkalpinang,+62-152-585-2247,1980-04-23,3.55,2021-11-17
"Drs. Oni Iswahyudi, S.T.",Gang Pacuan Kuda No. 20,Banjarmasin,089 829 8840,1970-03-11,3.5,2018-12-12
drg. Rina Purnawati,Jl. Rajawali Timur No. 49,Bandung,+62 (0806) 560-3711,1972-01-14,3.52,2019-11-28
Anita Marpaung,Gg. Sukabumi No. 547,Langsa,+62 (495) 705 9293,1964-03-28,3.48,2020-09-30
Amelia Gunawan,Gg. KH Amin Jasuta No. 422,Sabang,+62-087-071-2558,1966-06-17,3.52,2020-08-20
Kasusra Nuraini,Jalan Dipenogoro No. 147,Tangerang Selatan,+62-502-532-4109,1976-02-09,3.43,2023-03-05
"Jayadi Kusmawati, S.Kom",Jalan Ciumbuleuit No. 3,Pagaralam,(0701) 817 1044,2003-05-04,3.73,2021-01-27
"Hafshah Pradana, S.Psi",Jalan Dipenogoro No. 0,Denpasar,+62-0571-984-0967,1992-11-02,3.48,2022-01-18
"Hj. Natalia Widodo, M.Ak",Gg. Kapten Muslihat No. 45,Tarakan,(078) 157 0074,1967-08-20,3.57,2020-02-13
"Eka Hutagalung, S.Farm",Jl. Soekarno Hatta No. 8,Tanjungpinang,+62 (520) 632 6076,1971-08-06,3.48,2020-06-11
Estiono Riyanti,Jl. Ahmad Yani No. 533,Sabang,089 129 4731,1968-12-10,3.5,2022-06-14
Qori Anggriawan,Jl. PHH. Mustofa No. 1,Salatiga,(051) 828 0279,1989-11-15,3.55,2021-01-30
Dina Kusmawati,Jalan Rumah Sakit No. 8,Bengkulu,+62-0742-537-5603,2002-07-06,3.39,2022-06-12
Cayadi Megantara,Gang Rumah Sakit No. 179,Sawahlunto,+62 (576) 552-5984,1992-01-15,3.64,2019-03-02
"Drs. Ana Salahudin, M.TI.",Gg. PHH. Mustofa No. 754,Kediri,+62-066-418-7808,1997-09-15,3.57,2022-12-08
"Karna Purwanti, S.Farm",Jalan Monginsidi No. 7,Purwokerto,+62 (0352) 480 5464,1974-11-18,3.59,2023-01-10
Dr. Putri Najmudin,Gang Gegerkalong Hilir No. 050,Medan,+62-33-691-4204,1973-06-16,3.5,2021-12-19
Restu Maulana,Gang Suniaraja No. 80,Blitar,+62 (0521) 639-9998,1992-03-01,3.5,2018-05-29
drg. Oni Tamba,Jalan Erlangga No. 43,Tebingtinggi,(0783) 362 3554,1978-09-20,3.45,2018-09-20
Rahmat Nurdiyanti,Jalan Ciumbuleuit No. 969,Banjarbaru,+62 (0206) 326-6624,1988-04-21,3.25,2021-06-17
"dr. Halima Thamrin, M.M.",Gg. Tebet Barat Dalam No. 33,Lhokseumawe,0832708477,1979-09-16,3.2,2018-10-23
Puti Napitupulu,Gg. Rumah Sakit No. 207,Probolinggo,(077) 723 9889,1997-03-29,3.18,2022-04-25
Drs. Irma Waluyo,Jalan Rungkut Industri No. 604,Sungai Penuh,+62 (265) 058-6071,1979-11-10,3.28,2019-11-06
"Eli Hidayanto, S.E.I",Jalan Pasirkoja No. 4,Serang,+62-0259-736-4401,1969-09-18,3.38,2021-02-06
"Estiono Winarno, M.TI.",Jalan Cihampelas No. 7,Tual,(038) 876 2095,1975-02-07,3.22,2020-12-17
"Agnes Maulana, S.E.I",Gg. Pasir Koja No. 0,Jambi,+62 (057) 279-2510,1982-08-21,3.25,2022-11-19
"Tgk. Ifa Lazuardi, M.Farm",Gg. Lembong No. 12,Serang,089 883 9838,1968-12-21,3.2,2020-11-14
Malik Nugroho,Jalan Ciumbuleuit No. 4,Ambon,+62-0346-323-8278,1968-05-28,3.25,2022-04-07
"Hafshah Sudiati, S.IP",Jalan Jend. A. Yani No. 0,Tangerang Selatan,0811260692,1985-03-31,3.15,2018-06-27
Galak Purwanti,Jl. BKR No. 2,Mataram,+62 (0942) 080-7267,2002-03-02,3.62,2022-06-25
Gina Nashiruddin,Jl. Peta No. 75,Magelang,+62-000-056-4932,2003-01-27,3.06,2022-01-08
Ayu Nashiruddin,Gg. Gegerkalong Hilir No. 783,Samarinda,0861815539,1985-11-07,3.55,2022-11-21
T. Marwata Nuraini,Jl. Cikapayang No. 9,Bitung,+62 (594) 990-0560,1974-10-27,3.18,2018-12-16
"Keisha Hassanah, M.M.",Jalan Kapten Muslihat No. 3,Pontianak,+62-463-888-6150,2001-08-02,2.67,2021-06-30
Luis Firgantoro,Jalan Merdeka No. 23,Tanjungpinang,+62 (085) 070 3018,1991-09-17,3.3,2023-05-08
"R.M. Embuh Prastuti, M.Kom.",Gang Ciumbuleuit No. 928,Mojokerto,+62 (352) 096 8697,1984-02-19,3.2,2020-06-10
Siska Maulana,Jl. Suryakencana No. 0,Sukabumi,+62 (011) 987-9631,2002-02-20,2.71,2022-11-02
"Teguh Prasasta, S.Sos",Gang Ronggowarsito No. 196,Tanjungbalai,+62-0490-119-5316,1980-09-28,3.28,2020-04-29
Hj. Talia Narpati,Gg. Ciumbuleuit No. 663,Sukabumi,+62 (06) 609 2238,1970-12-23,3.39,2022-06-26
Zamira Januar,Jalan PHH. Mustofa No. 658,Surabaya,(038) 834-0287,1992-03-21,3.2,2019-09-14
"R.M. Mustika Laksmiwati, S.I.Kom",Gg. Cikutra Timur No. 15,Pekanbaru,+62 (019) 504-1796,1995-12-14,3.28,2020-10-25
Puput Waskita,Gang PHH. Mustofa No. 398,Metro,(0020) 391-6080,1983-11-01,3.5,2020-06-21
Dian Dongoran,Gg. Joyoboyo No. 182,Tegal,+62 (0616) 304 6851,1979-08-13,3.1,2022-12-05
Ciaobella Budiyanto,Jalan H.J Maemunah No. 93,Bima,+62 (983) 027-6169,1977-08-04,3.35,2020-11-12
Uda Wibowo,Gang Siliwangi No. 799,Padangpanjang,+62 (077) 046 4816,2002-11-01,3.38,2020-04-18
"Tira Pranowo, S.I.Kom",Jl. Kiaracondong No. 35,Depok,(0028) 669-5462,1979-06-20,3.38,2023-05-03
"Dr. Karimah Sudiati, S.Pd",Jalan M.T Haryono No. 29,Binjai,+62 (06) 830-6003,1983-07-30,3.41,2018-09-26
Sabrina Wibisono,Gg. BKR No. 883,Surabaya,0817328931,1987-08-26,3.16,2021-06-20
Paris Situmorang,Gg. Sukajadi No. 12,Ternate,+62 (59) 633-5851,1990-03-13,3.48,2020-04-15
Adika Nainggolan,Jl. Rajawali Barat No. 4,Pematangsiantar,0801710056,1999-02-20,3.27,2019-07-04
Hasna Dabukke,Gg. Ahmad Dahlan No. 721,Bontang,+62-0966-777-7734,1966-04-22,3.4,2019-10-09
Indah Sirait,Jalan Waringin No. 9,Tasikmalaya,087 732 8258,1986-11-14,3.7,2023-01-13
Cut Farah Puspita,Jalan Pacuan Kuda No. 66,Meulaboh,+62 (20) 459 2738,1999-07-20,3.59,2019-10-10
Eli Prasasta,Jalan Ciwastra No. 92,Tebingtinggi,+62-219-132-9630,1972-06-17,3.62,2018-08-05
R.A. Mala Oktaviani,Jalan Otto Iskandardinata No. 5,Madiun,+62-283-588-0366,1995-03-19,3.62,2021-10-11
Caraka Sihotang,Jalan Gedebage Selatan No. 7,Bau-Bau,(0517) 926 1213,1979-01-04,3.62,2022-02-14
"Maras Wulandari, S.Pd",Gg. Gardujati No. 68,Meulaboh,(055) 898-6029,2001-09-23,3.55,2019-12-30
"Tgk. Violet Sihombing, S.Gz",Gang Ahmad Yani No. 84,Kediri,+62 (037) 465-7256,1968-02-20,3.38,2022-10-06
Rika Nasyidah,Gang Kapten Muslihat No. 8,Sukabumi,+62 (828) 288 8054,2002-09-03,3.23,2020-08-12
Dewi Nuraini,Jl. Rawamangun No. 1,Mojokerto,(0485) 074-9374,1990-05-14,3.75,2018-09-14
"Eja Irawan, S.H.",Jl. Medokan Ayu No. 366,Pekalongan,(046) 196-1360,1992-09-20,3.68,2019-12-28
Cornelia Wulandari,Jl. Wonoayu No. 049,Jayapura,+62 (053) 185-2389,1997-07-07,3.52,2021-11-14
Ami Wacana,Jalan Kiaracondong No. 7,Pontianak,+62-890-429-5622,1965-11-06,3.52,2021-11-03
Puspa Hutagalung,Gg. Tebet Barat Dalam No. 500,Lhokseumawe,+62 (065) 376 3599,1984-09-05,3.4,2021-06-11
Balangga Marbun,Jalan Tebet Barat Dalam No. 51,Lhokseumawe,+62-002-995-0413,1971-04-07,3.55,2021-08-07
Ir. Irwan Nasyiah,Gg. PHH. Mustofa No. 5,Palopo,(056) 357-3588,1994-12-22,3.68,2019-01-25
Tugiman Adriansyah,Jalan Sadang Serang No. 64,Depok,+62 (91) 160 3542,1979-12-06,3.45,2022-02-11
"drg. Nilam Thamrin, M.Farm",Jalan Sadang Serang No. 78,Meulaboh,+62-411-404-9607,1973-06-05,3.42,2019-01-18
Rika Agustina,Jalan Gardujati No. 3,Tangerang,+62-071-358-0985,1977-04-12,3.35,2018-12-10
"Prayogo Hidayanto, S.Kom",Gg. Cikutra Barat No. 6,Padangpanjang,+62 (686) 678 7133,1993-09-13,3.15,2019-03-08
